racial_ethnic_group,age_group,baseline_mortality_per_100k,chi_hp,chi_screen,p_hp_effectiveness,r_hp,r_screen,im_attributable_effect,total_intervention_effect,mortality_reduction_per_100k,percent_reduction
Non-Hispanic Asian/Pacific Islander,70-74,1.58,0.9,0.9,0.9,0.74027,0.64,0.4854332448,0.4854332448,0.8130154732160001,51.456675520000005
Non-Hispanic Asian/Pacific Islander,75-79,1.92,0.9,0.9,0.9,0.74027,0.64,0.503186235,0.503186235,0.9538824287999998,49.6813765
Non-Hispanic Asian/Pacific Islander,80-84,2.18,0.9,0.9,0.9,0.74027,0.64,0.49897752480000007,0.49897752480000007,1.0922289959359999,50.102247519999985
Non-Hispanic Asian/Pacific Islander,85+,2.84,0.9,0.9,0.9,0.74027,0.64,0.536874552,0.536874552,1.31527627232,46.3125448
Hispanic,<40,0.2,0.9,0.9,0.9,0.74027,0.64,0.5775949104,0.5775949104,0.08448101792000001,42.24050896000001
Hispanic,40-44,0.14,0.9,0.9,0.9,0.74027,0.64,0.5775949104,0.5775949104,0.059136712544000006,42.24050896
Hispanic,45-49,0.38,0.9,0.9,0.9,0.74027,0.64,0.5531149103999999,0.5531149103999999,0.16981633404800003,44.68850896000001
Hispanic,50-54,0.73,0.9,0.9,0.9,0.74027,0.64,0.5368468247999999,0.5368468247999999,0.3381018178960001,46.31531752000001
Hispanic,55-59,1.45,0.9,0.9,0.9,0.74027,0.64,0.49542810880000004,0.49542810880000004,0.7316292422399999,50.45718912
Hispanic,60-64,1.88,0.9,0.9,0.9,0.74027,0.64,0.5031691730000001,0.5031691730000001,0.9340419547599998,49.6830827
Hispanic,65-69,2.66,0.9,0.9,0.9,0.74027,0.64,0.47762556400000006,0.47762556400000006,1.38951599976,52.2374436
Hispanic,70-74,3.52,0.9,0.9,0.9,0.74027,0.64,0.46520685959999997,0.46520685959999997,1.8824718542080001,53.479314040000006
Hispanic,75-79,4.84,0.9,0.9,0.9,0.74027,0.64,0.4921753732,0.4921753732,2.457871193712,50.78246268000001
Hispanic,80-84,4.22,0.9,0.9,0.9,0.74027,0.64,0.47371284,0.47371284,2.2209318151999997,52.628716
Hispanic,85+,5.77,0.9,0.9,0.9,0.74027,0.64,0.5116098672,0.5116098672,2.8180110662559996,48.839013279999996
All Races/Ethnicities,<40,0.01,0.9,0.9,0.9,0.74027,0.64,0.49767319840000007,0.49767319840000007,0.005023268015999999,50.23268015999999
All Races/Ethnicities,40-44,0.2,0.9,0.9,0.9,0.74027,0.64,0.47101213420000004,0.47101213420000004,0.10579757315999999,52.89878657999999
All Races/Ethnicities,45-49,0.3,0.9,0.9,0.9,0.74027,0.64,0.4658361828,0.4658361828,0.16024914516,53.416381720000004
All Races/Ethnicities,50-54,0.45,0.9,0.9,0.9,0.74027,0.64,0.43843405439999994,0.43843405439999994,0.25270467552000003,56.15659456000001
All Races/Ethnicities,55-59,0.6,0.9,0.9,0.9,0.74027,0.64,0.3564468248,0.3564468248,0.38613190511999995,64.35531752
All Races/Ethnicities,60-64,0.78,0.9,0.9,0.9,0.74027,0.64,0.34686385200000003,0.34686385200000003,0.50944619544,65.3136148
All Races/Ethnicities,65-69,1.01,0.9,0.9,0.9,0.74027,0.64,0.31596768080000004,0.31596768080000004,0.690872642392,68.40323192
All Races/Ethnicities,70-74,1.24,0.9,0.9,0.9,0.74027,0.64,0.3223967776,0.3223967776,0.8402279957759999,67.76032224
All Races/Ethnicities,75-79,1.23,0.9,0.9,0.9,0.74027,0.64,0.35043128,0.35043128,0.7989695256,64.956872
All Races/Ethnicities,80-84,1.06,0.9,0.9,0.9,0.74027,0.64,0.362046762,0.362046762,0.67623043228,63.795323800000006
All Races/Ethnicities,85+,0.98,0.9,0.9,0.9,0.74027,0.64,0.3817947672,0.3817947672,0.6058411281439999,61.820523279999996
