"IM Race-Ethnicity no Unknown","Age at death 18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Crude Rate","Count","Population"
0,3,0,1,3,^,^,19686554
0,3,0,2,0,^,^,22467437
0,3,0,2,1,^,^,22407616
0,3,0,2,2,^,^,20756098
0,3,0,2,3,^,^,19686554
0,3,1,0,0,^,^,22467437
0,3,1,0,1,^,^,22407616
0,3,1,0,2,^,^,20756098
0,3,1,0,3,^,^,19686554
0,3,1,1,0,^,^,22467437
0,3,1,1,1,^,^,22407616
0,3,1,1,2,^,^,20756098
0,3,1,1,3,^,^,19686554
0,3,1,2,0,^,^,22467437
0,3,1,2,1,^,^,22407616
0,3,1,2,2,^,^,20756098
0,3,1,2,3,^,^,19686554
0,3,2,0,0,^,^,22467437
0,3,2,0,1,^,^,22407616
0,3,2,0,2,^,^,20756098
0,3,2,0,3,^,^,19686554
0,3,2,1,0,^,^,22467437
0,3,2,1,1,^,^,22407616
0,3,2,1,2,^,^,20756098
0,3,2,1,3,^,^,19686554
0,3,2,2,0,^,^,22467437
0,3,2,2,1,^,^,22407616
0,3,2,2,2,^,^,20756098
0,3,2,2,3,^,^,19686554
0,3,3,0,0,^,^,22467437
0,3,3,0,1,^,^,22407616
0,3,3,0,2,^,^,20756098
0,3,3,0,3,^,^,19686554
0,3,3,1,0,^,^,22467437
0,3,3,1,1,^,^,22407616
0,3,3,1,2,^,^,20756098
0,3,3,1,3,^,^,19686554
0,3,3,2,0,^,^,22467437
0,3,3,2,1,^,^,22407616
0,3,3,2,2,^,^,20756098
0,3,3,2,3,^,^,19686554
0,4,0,0,0,^,^,21446129
0,4,0,0,1,^,^,21899239
0,4,0,0,2,0.06,13,22209693
0,4,0,0,3,^,^,20956698
0,4,0,1,0,^,^,21446129
0,4,0,1,1,^,^,21899239
0,4,0,1,2,0.05,11,22209693
0,4,0,1,3,^,^,20956698
0,4,0,2,0,^,^,21446129
0,4,0,2,1,^,^,21899239
0,4,0,2,2,^,^,22209693
0,4,0,2,3,^,^,20956698
0,4,1,0,0,^,^,21446129
0,4,1,0,1,^,^,21899239
0,4,1,0,2,^,^,22209693
0,4,1,0,3,^,^,20956698
0,4,1,1,0,^,^,21446129
0,4,1,1,1,^,^,21899239
0,4,1,1,2,^,^,22209693
0,4,1,1,3,^,^,20956698
0,4,1,2,0,^,^,21446129
0,4,1,2,1,^,^,21899239
0,4,1,2,2,^,^,22209693
0,4,1,2,3,^,^,20956698
0,4,2,0,0,^,^,21446129
0,4,2,0,1,^,^,21899239
0,4,2,0,2,^,^,22209693
0,4,2,0,3,^,^,20956698
0,4,2,1,0,^,^,21446129
0,4,2,1,1,^,^,21899239
0,4,2,1,2,^,^,22209693
0,4,2,1,3,^,^,20956698
0,4,2,2,0,^,^,21446129
0,4,2,2,1,^,^,21899239
0,4,2,2,2,^,^,22209693
0,4,2,2,3,^,^,20956698
0,4,3,0,0,^,^,21446129
0,4,3,0,1,^,^,21899239
0,4,3,0,2,^,^,22209693
