"IM Race-Ethnicity no Unknown","IM Modelling Subsite","18_Age Categories for NordPred","IM Histology with All","Incidence 5-year LATEST","Crude Rate","Count","Population"
0,0,11,0,3,6.16,1792,29113614
0,0,11,1,0,4.76,1441,30251266
0,0,11,1,1,4.68,1510,32244708
0,0,11,1,2,4.66,1533,32914756
0,0,11,1,3,4.33,1262,29113614
0,0,11,2,0,0.76,229,30251266
0,0,11,2,1,0.90,290,32244708
0,0,11,2,2,1.17,385,32914756
0,0,11,2,3,1.51,439,29113614
0,0,12,0,0,9.48,2351,24791905
0,0,12,0,1,8.72,2530,29023222
0,0,12,0,2,9.01,2814,31232970
0,0,12,0,3,9.35,2944,31501209
0,0,12,1,0,7.81,1936,24791905
0,0,12,1,1,6.83,1981,29023222
0,0,12,1,2,6.80,2125,31232970
0,0,12,1,3,6.54,2059,31501209
0,0,12,2,0,0.95,236,24791905
0,0,12,2,1,1.32,384,29023222
0,0,12,2,2,1.59,497,31232970
0,0,12,2,3,2.24,707,31501209
0,0,13,0,0,15.30,2907,19002254
0,0,13,0,1,13.59,3166,23303586
0,0,13,0,2,13.68,3769,27555526
0,0,13,0,3,13.21,3877,29354793
0,0,13,1,0,12.81,2434,19002254
0,0,13,1,1,11.18,2605,23303586
0,0,13,1,2,10.59,2917,27555526
0,0,13,1,3,9.74,2860,29354793
0,0,13,2,0,1.32,250,19002254
0,0,13,2,1,1.58,368,23303586
0,0,13,2,2,2.30,633,27555526
0,0,13,2,3,2.62,770,29354793
0,0,14,0,0,22.36,3526,15772351
0,0,14,0,1,20.42,3567,17471220
0,0,14,0,2,19.78,4291,21692248
0,0,14,0,3,18.69,4734,25326497
0,0,14,1,0,18.64,2940,15772351
0,0,14,1,1,16.64,2907,17471220
0,0,14,1,2,15.36,3331,21692248
0,0,14,1,3,13.57,3437,25326497
0,0,14,2,0,1.98,313,15772351
0,0,14,2,1,2.40,420,17471220
0,0,14,2,2,3.29,714,21692248
0,0,14,2,3,4.00,1012,25326497
0,0,15,0,0,30.58,4478,14644432
0,0,15,0,1,28.02,3924,14003345
0,0,15,0,2,27.48,4318,15715921
0,0,15,0,3,25.25,4918,19477420
0,0,15,1,0,26.00,3807,14644432
0,0,15,1,1,23.14,3240,14003345
0,0,15,1,2,21.79,3424,15715921
0,0,15,1,3,18.90,3682,19477420
0,0,15,2,0,2.12,311,14644432
0,0,15,2,1,2.85,399,14003345
0,0,15,2,2,3.84,603,15715921
0,0,15,2,3,4.68,911,19477420
0,0,16,0,0,38.95,5081,13046361
0,0,16,0,1,35.35,4339,12273350
0,0,16,0,2,33.74,4032,11951978
0,0,16,0,3,31.00,4190,13515338
0,0,16,1,0,33.14,4324,13046361
0,0,16,1,1,29.05,3566,12273350
0,0,16,1,2,26.72,3194,11951978
0,0,16,1,3,23.82,3220,13515338
0,0,16,2,0,2.73,356,13046361
0,0,16,2,1,3.59,440,12273350
0,0,16,2,2,4.58,547,11951978
0,0,16,2,3,5.20,703,13515338
0,0,17,0,0,48.37,4639,9590416
0,0,17,0,1,42.30,4201,9931555
0,0,17,0,2,40.29,3851,9558759
0,0,17,0,3,35.88,3371,9395615
0,0,17,1,0,40.35,3870,9590416
0,0,17,1,1,34.39,3415,9931555
0,0,17,1,2,32.55,3111,9558759
0,0,17,1,3,28.31,2660,9395615
0,0,17,2,0,2.88,276,9590416
0,0,17,2,1,3.72,369,9931555
0,0,17,2,2,4.37,418,9558759
0,0,17,2,3,4.63,435,9395615
0,0,18,0,0,55.84,4585,8211211
0,0,18,0,1,46.87,4327,9231045
0,0,18,0,2,41.20,4260,10338677
0,0,18,0,3,34.93,3767,10782972
0,0,18,1,0,44.84,3682,8211211
0,0,18,1,1,37.56,3467,9231045
0,0,18,1,2,31.71,3278,10338677
0,0,18,1,3,26.90,2901,10782972
0,0,18,2,0,1.90,156,8211211
0,0,18,2,1,2.48,229,9231045
0,0,18,2,2,3.14,325,10338677
0,0,18,2,3,3.15,340,10782972
0,0,19,0,0,7.66,31889,416252623
0,0,19,0,1,7.34,30352,413435419
0,0,19,0,2,7.65,31672,413754381
0,0,19,0,3,7.74,31816,411263308
0,0,19,1,0,6.34,26385,416252623
0,0,19,1,1,5.92,24465,413435419
0,0,19,1,2,5.92,24499,413754381
0,0,19,1,3,5.73,23585,411263308
0,0,19,2,0,0.60,2491,416252623
0,0,19,2,1,0.82,3372,413435419
0,0,19,2,2,1.13,4688,413754381
0,0,19,2,3,1.44,5907,411263308
0,1,0,0,0,0.00,0,23869573
0,1,0,0,1,0.00,1,22762170
0,1,0,0,2,0.00,0,21668428
0,1,0,0,3,0.00,0,21021396
0,1,0,1,0,0.00,0,23869573
0,1,0,1,1,0.00,0,22762170
0,1,0,1,2,0.00,0,21668428
0,1,0,1,3,0.00,0,21021396
0,1,0,2,0,0.00,0,23869573
0,1,0,2,1,0.00,0,22762170
0,1,0,2,2,0.00,0,21668428
0,1,0,2,3,0.00,0,21021396
0,1,1,0,0,0.01,3,25158891
0,1,1,0,1,0.00,0,23274066
0,1,1,0,2,0.00,0,22616183
0,1,1,0,3,0.00,0,21497499
0,1,1,1,0,0.00,0,25158891
0,1,1,1,1,0.00,0,23274066
0,1,1,1,2,0.00,0,22616183
0,1,1,1,3,0.00,0,21497499
0,1,1,2,0,0.01,3,25158891
0,1,1,2,1,0.00,0,23274066
0,1,1,2,2,0.00,0,22616183
0,1,1,2,3,0.00,0,21497499
0,1,2,0,0,0.00,1,27371620
0,1,2,0,1,0.00,1,25178088
0,1,2,0,2,0.01,2,23638071
0,1,2,0,3,0.01,2,22487526
0,1,2,1,0,0.00,0,27371620
0,1,2,1,1,0.00,0,25178088
0,1,2,1,2,0.00,0,23638071
0,1,2,1,3,0.01,2,22487526
0,1,2,2,0,0.00,1,27371620
0,1,2,2,1,0.00,1,25178088
0,1,2,2,2,0.01,2,23638071
0,1,2,2,3,0.00,0,22487526
0,1,3,0,0,0.01,4,26914884
0,1,3,0,1,0.03,8,26851415
0,1,3,0,2,0.03,7,24897293
0,1,3,0,3,0.05,12,23503987
0,1,3,1,0,0.01,2,26914884
0,1,3,1,1,0.01,2,26851415
0,1,3,1,2,0.02,4,24897293
0,1,3,1,3,0.03,6,23503987
0,1,3,2,0,0.01,2,26914884
0,1,3,2,1,0.02,6,26851415
0,1,3,2,2,0.01,3,24897293
0,1,3,2,3,0.03,6,23503987
0,1,4,0,0,0.04,10,25615270
0,1,4,0,1,0.06,16,26177679
0,1,4,0,2,0.08,20,26456421
0,1,4,0,3,0.06,15,24973279
0,1,4,1,0,0.02,5,25615270
0,1,4,1,1,0.03,7,26177679
0,1,4,1,2,0.03,8,26456421
0,1,4,1,3,0.04,10,24973279
0,1,4,2,0,0.02,5,25615270
0,1,4,2,1,0.03,9,26177679
0,1,4,2,2,0.04,11,26456421
0,1,4,2,3,0.02,5,24973279
0,1,5,0,0,0.13,33,24526441
0,1,5,0,1,0.10,25,25559243
0,1,5,0,2,0.09,23,26650861
0,1,5,0,3,0.11,31,27192489
0,1,5,1,0,0.08,19,24526441
0,1,5,1,1,0.05,12,25559243
0,1,5,1,2,0.05,12,26650861
0,1,5,1,3,0.06,15,27192489
0,1,5,2,0,0.04,10,24526441
0,1,5,2,1,0.05,12,25559243
0,1,5,2,2,0.04,11,26650861
0,1,5,2,3,0.06,15,27192489
0,1,6,0,0,0.19,53,28159352
0,1,6,0,1,0.19,47,24272191
0,1,6,0,2,0.21,55,25604917
0,1,6,0,3,0.26,69,26540051
0,1,6,1,0,0.12,34,28159352
0,1,6,1,1,0.13,31,24272191
0,1,6,1,2,0.11,27,25604917
0,1,6,1,3,0.15,40,26540051
0,1,6,2,0,0.05,15,28159352
0,1,6,2,1,0.06,15,24272191
0,1,6,2,2,0.10,25,25604917
0,1,6,2,3,0.10,27,26540051
0,1,7,0,0,0.41,128,31508574
0,1,7,0,1,0.42,115,27580140
0,1,7,0,2,0.41,100,24139311
0,1,7,0,3,0.50,126,25255508
0,1,7,1,0,0.31,97,31508574
0,1,7,1,1,0.30,82,27580140
0,1,7,1,2,0.23,56,24139311
0,1,7,1,3,0.27,69,25255508
0,1,7,2,0,0.07,23,31508574
0,1,7,2,1,0.11,31,27580140
0,1,7,2,2,0.17,40,24139311
0,1,7,2,3,0.21,52,25255508
0,1,8,0,0,0.11,232,213124605
0,1,8,0,1,0.11,213,201654992
0,1,8,0,2,0.11,207,195671485
0,1,8,0,3,0.13,255,192471735
0,1,8,1,0,0.07,157,213124605
0,1,8,1,1,0.07,134,201654992
0,1,8,1,2,0.05,107,195671485
0,1,8,1,3,0.07,142,192471735
0,1,8,2,0,0.03,59,213124605
0,1,8,2,1,0.04,74,201654992
0,1,8,2,2,0.05,92,195671485
0,1,8,2,3,0.05,105,192471735
0,1,9,0,0,0.61,211,34642018
0,1,9,0,1,0.71,217,30651071
0,1,9,0,2,0.90,243,27116193
0,1,9,0,3,0.87,206,23762893
0,1,9,1,0,0.46,160,34642018
0,1,9,1,1,0.45,138,30651071
0,1,9,1,2,0.49,134,27116193
0,1,9,1,3,0.47,111,23762893
0,1,9,2,0,0.11,39,34642018
0,1,9,2,1,0.25,76,30651071
0,1,9,2,2,0.38,102,27116193
0,1,9,2,3,0.37,89,23762893
0,1,10,0,0,1.05,348,33175804
0,1,10,0,1,1.23,414,33647325
0,1,10,0,2,1.33,399,30005868
0,1,10,0,3,1.31,347,26561222
0,1,10,1,0,0.74,245,33175804
0,1,10,1,1,0.85,287,33647325
0,1,10,1,2,0.83,250,30005868
0,1,10,1,3,0.76,203,26561222
0,1,10,2,0,0.27,89,33175804
0,1,10,2,1,0.34,116,33647325
0,1,10,2,2,0.47,141,30005868
0,1,10,2,3,0.51,136,26561222
0,1,11,0,0,1.82,551,30251266
0,1,11,0,1,1.95,630,32244708
0,1,11,0,2,2.07,680,32914756
0,1,11,0,3,2.16,629,29113614
0,1,11,1,0,1.32,399,30251266
0,1,11,1,1,1.38,444,32244708
0,1,11,1,2,1.31,432,32914756
0,1,11,1,3,1.19,346,29113614
0,1,11,2,0,0.42,126,30251266
0,1,11,2,1,0.51,165,32244708
0,1,11,2,2,0.67,221,32914756
0,1,11,2,3,0.91,264,29113614
0,1,12,0,0,2.88,715,24791905
0,1,12,0,1,2.89,839,29023222
0,1,12,0,2,2.71,845,31232970
0,1,12,0,3,3.01,948,31501209
0,1,12,1,0,2.25,557,24791905
0,1,12,1,1,2.03,588,29023222
0,1,12,1,2,1.73,539,31232970
0,1,12,1,3,1.55,489,31501209
0,1,12,2,0,0.50,124,24791905
0,1,12,2,1,0.78,225,29023222
0,1,12,2,2,0.90,280,31232970
0,1,12,2,3,1.33,420,31501209
0,1,13,0,0,5.02,953,19002254
0,1,13,0,1,4.21,980,23303586
0,1,13,0,2,4.13,1139,27555526
0,1,13,0,3,4.14,1216,29354793
0,1,13,1,0,4.02,764,19002254
0,1,13,1,1,3.18,741,23303586
0,1,13,1,2,2.72,749,27555526
0,1,13,1,3,2.44,716,29354793
0,1,13,2,0,0.73,139,19002254
0,1,13,2,1,0.83,193,23303586
0,1,13,2,2,1.27,350,27555526
0,1,13,2,3,1.54,451,29354793
0,1,14,0,0,8.21,1295,15772351
0,1,14,0,1,7.04,1230,17471220
0,1,14,0,2,6.28,1362,21692248
0,1,14,0,3,5.92,1499,25326497
0,1,14,1,0,6.68,1053,15772351
0,1,14,1,1,5.39,942,17471220
0,1,14,1,2,4.19,908,21692248
0,1,14,1,3,3.42,866,25326497
0,1,14,2,0,1.19,188,15772351
0,1,14,2,1,1.35,236,17471220
0,1,14,2,2,1.82,395,21692248
0,1,14,2,3,2.29,580,25326497
0,1,15,0,0,11.55,1691,14644432
0,1,15,0,1,10.02,1403,14003345
0,1,15,0,2,9.22,1449,15715921
0,1,15,0,3,8.24,1604,19477420
0,1,15,1,0,10.00,1464,14644432
0,1,15,1,1,8.02,1123,14003345
0,1,15,1,2,6.77,1064,15715921
0,1,15,1,3,5.21,1014,19477420
0,1,15,2,0,1.03,151,14644432
0,1,15,2,1,1.52,213,14003345
0,1,15,2,2,2.10,330,15715921
0,1,15,2,3,2.71,528,19477420
0,1,16,0,0,16.16,2108,13046361
0,1,16,0,1,13.86,1701,12273350
0,1,16,0,2,12.44,1487,11951978
0,1,16,0,3,11.35,1534,13515338
0,1,16,1,0,14.13,1843,13046361
0,1,16,1,1,11.25,1381,12273350
0,1,16,1,2,9.15,1094,11951978
0,1,16,1,3,7.87,1063,13515338
0,1,16,2,0,1.40,182,13046361
0,1,16,2,1,2.01,247,12273350
0,1,16,2,2,2.82,337,11951978
0,1,16,2,3,3.10,419,13515338
0,1,17,0,0,21.65,2076,9590416
0,1,17,0,1,18.58,1845,9931555
0,1,17,0,2,16.44,1571,9558759
0,1,17,0,3,13.80,1297,9395615
0,1,17,1,0,19.04,1826,9590416
0,1,17,1,1,15.37,1526,9931555
0,1,17,1,2,13.20,1262,9558759
0,1,17,1,3,10.60,996,9395615
0,1,17,2,0,1.50,144,9590416
0,1,17,2,1,2.18,217,9931555
0,1,17,2,2,2.40,229,9558759
0,1,17,2,3,2.50,235,9395615
0,1,18,0,0,26.50,2176,8211211
0,1,18,0,1,21.32,1968,9231045
0,1,18,0,2,18.26,1888,10338677
0,1,18,0,3,14.45,1558,10782972
0,1,18,1,0,23.50,1930,8211211
0,1,18,1,1,18.78,1734,9231045
0,1,18,1,2,15.35,1587,10338677
0,1,18,1,3,11.68,1259,10782972
0,1,18,2,0,0.91,75,8211211
0,1,18,2,1,1.13,104,9231045
0,1,18,2,2,1.74,180,10338677
