"IM Race-Ethnicity no Unknown","18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Age-Adjusted Rate","Count","Population"
0,3,2,1,1,^,^,346283967
0,3,2,1,2,^,^,347280455
0,3,2,1,3,^,^,346452871
0,3,2,2,0,^,^,347688122
0,3,2,2,1,^,^,346283967
0,3,2,2,2,^,^,347280455
0,3,2,2,3,^,^,346452871
0,3,2,3,0,^,^,347688122
0,3,2,3,1,^,^,346283967
0,3,2,3,2,^,^,347280455
0,3,2,3,3,^,^,346452871
0,3,3,0,0,^,^,347688122
0,3,3,0,1,^,^,346283967
0,3,3,0,2,^,^,347280455
0,3,3,0,3,^,^,346452871
0,3,3,1,0,^,^,347688122
0,3,3,1,1,^,^,346283967
0,3,3,1,2,^,^,347280455
0,3,3,1,3,^,^,346452871
0,3,3,2,0,^,^,347688122
0,3,3,2,1,^,^,346283967
0,3,3,2,2,^,^,347280455
0,3,3,2,3,^,^,346452871
0,3,3,3,0,^,^,347688122
0,3,3,3,1,^,^,346283967
0,3,3,3,2,^,^,347280455
0,3,3,3,3,^,^,346452871
0,4,0,0,0,0.00,13,347688122
0,4,0,0,1,0.01,18,346283967
0,4,0,0,2,0.01,19,347280455
0,4,0,0,3,0.01,18,346452871
0,4,0,1,0,0.00,15,347688122
0,4,0,1,1,0.01,19,346283967
0,4,0,1,2,0.01,20,347280455
0,4,0,1,3,0.01,19,346452871
0,4,0,2,0,0.00,13,347688122
0,4,0,2,1,0.00,15,346283967
0,4,0,2,2,0.01,18,347280455
0,4,0,2,3,0.01,17,346452871
0,4,0,3,0,^,^,347688122
0,4,0,3,1,^,^,346283967
0,4,0,3,2,^,^,347280455
0,4,0,3,3,^,^,346452871
0,4,1,0,0,^,^,347688122
0,4,1,0,1,^,^,346283967
0,4,1,0,2,0.00,11,347280455
0,4,1,0,3,^,^,346452871
0,4,1,1,0,^,^,347688122
0,4,1,1,1,^,^,346283967
0,4,1,1,2,0.00,11,347280455
0,4,1,1,3,0.00,10,346452871
0,4,1,2,0,^,^,347688122
0,4,1,2,1,^,^,346283967
0,4,1,2,2,0.00,10,347280455
0,4,1,2,3,^,^,346452871
0,4,1,3,0,^,^,347688122
0,4,1,3,1,^,^,346283967
0,4,1,3,2,^,^,347280455
0,4,1,3,3,^,^,346452871
0,4,2,0,0,^,^,347688122
0,4,2,0,1,^,^,346283967
0,4,2,0,2,^,^,347280455
0,4,2,0,3,^,^,346452871
0,4,2,1,0,^,^,347688122
0,4,2,1,1,^,^,346283967
0,4,2,1,2,^,^,347280455
0,4,2,1,3,^,^,346452871
0,4,2,2,0,^,^,347688122
0,4,2,2,1,^,^,346283967
0,4,2,2,2,^,^,347280455
0,4,2,2,3,^,^,346452871
0,4,2,3,0,^,^,347688122
0,4,2,3,1,^,^,346283967
0,4,2,3,2,^,^,347280455
0,4,2,3,3,^,^,346452871
0,4,3,0,0,^,^,347688122
0,4,3,0,1,^,^,346283967
0,4,3,0,2,^,^,347280455
0,4,3,0,3,^,^,346452871
0,4,3,1,0,^,^,347688122
0,4,3,1,1,^,^,346283967
0,4,3,1,2,^,^,347280455
0,4,3,1,3,^,^,346452871
0,4,3,2,0,^,^,347688122
0,4,3,2,1,^,^,346283967
0,4,3,2,2,^,^,347280455
0,4,3,2,3,^,^,346452871
0,4,3,3,0,^,^,347688122
0,4,3,3,1,^,^,346283967
0,4,3,3,2,^,^,347280455
0,4,3,3,3,^,^,346452871
0,5,0,0,0,0.01,29,347688122
0,5,0,0,1,0.01,28,346283967
0,5,0,0,2,0.01,36,347280455
0,5,0,0,3,0.01,37,346452871
0,5,0,1,0,0.01,31,347688122
0,5,0,1,1,0.01,30,346283967
0,5,0,1,2,0.01,40,347280455
0,5,0,1,3,0.01,38,346452871
0,5,0,2,0,0.01,27,347688122
0,5,0,2,1,0.01,24,346283967
0,5,0,2,2,0.01,30,347280455
0,5,0,2,3,0.01,34,346452871
0,5,0,3,0,^,^,347688122
0,5,0,3,1,^,^,346283967
0,5,0,3,2,^,^,347280455
0,5,0,3,3,^,^,346452871
0,5,1,0,0,^,^,347688122
0,5,1,0,1,0.00,10,346283967
0,5,1,0,2,0.00,13,347280455
0,5,1,0,3,0.01,18,346452871
0,5,1,1,0,^,^,347688122
0,5,1,1,1,0.00,10,346283967
0,5,1,1,2,0.00,13,347280455
0,5,1,1,3,0.01,18,346452871
0,5,1,2,0,^,^,347688122
0,5,1,2,1,^,^,346283967
0,5,1,2,2,0.00,13,347280455
0,5,1,2,3,0.01,18,346452871
0,5,1,3,0,^,^,347688122
0,5,1,3,1,^,^,346283967
0,5,1,3,2,^,^,347280455
0,5,1,3,3,^,^,346452871
0,5,2,0,0,0.00,11,347688122
0,5,2,0,1,^,^,346283967
0,5,2,0,2,^,^,347280455
0,5,2,0,3,0.00,11,346452871
0,5,2,1,0,0.00,11,347688122
0,5,2,1,1,0.00,10,346283967
0,5,2,1,2,^,^,347280455
0,5,2,1,3,0.00,12,346452871
0,5,2,2,0,0.00,10,347688122
0,5,2,2,1,^,^,346283967
0,5,2,2,2,^,^,347280455
0,5,2,2,3,0.00,11,346452871
0,5,2,3,0,^,^,347688122
0,5,2,3,1,^,^,346283967
0,5,2,3,2,^,^,347280455
0,5,2,3,3,^,^,346452871
0,5,3,0,0,0.00,13,347688122
0,5,3,0,1,^,^,346283967
0,5,3,0,2,0.00,15,347280455
0,5,3,0,3,^,^,346452871
0,5,3,1,0,0.00,14,347688122
0,5,3,1,1,0.00,10,346283967
0,5,3,1,2,0.01,19,347280455
0,5,3,1,3,^,^,346452871
0,5,3,2,0,0.00,12,347688122
0,5,3,2,1,^,^,346283967
0,5,3,2,2,0.00,10,347280455
0,5,3,2,3,^,^,346452871
0,5,3,3,0,^,^,347688122
0,5,3,3,1,^,^,346283967
0,5,3,3,2,^,^,347280455
0,5,3,3,3,^,^,346452871
0,6,0,0,0,0.02,70,347688122
0,6,0,0,1,0.03,81,346283967
0,6,0,0,2,0.03,72,347280455
0,6,0,0,3,0.03,86,346452871
0,6,0,1,0,0.02,76,347688122
0,6,0,1,1,0.03,85,346283967
0,6,0,1,2,0.03,76,347280455
0,6,0,1,3,0.03,95,346452871
0,6,0,2,0,0.02,69,347688122
0,6,0,2,1,0.03,77,346283967
0,6,0,2,2,0.02,65,347280455
0,6,0,2,3,0.03,77,346452871
0,6,0,3,0,^,^,347688122
0,6,0,3,1,^,^,346283967
0,6,0,3,2,^,^,347280455
0,6,0,3,3,^,^,346452871
0,6,1,0,0,0.01,33,347688122
0,6,1,0,1,0.01,34,346283967
0,6,1,0,2,0.01,27,347280455
0,6,1,0,3,0.01,36,346452871
0,6,1,1,0,0.01,34,347688122
0,6,1,1,1,0.01,36,346283967
0,6,1,1,2,0.01,28,347280455
0,6,1,1,3,0.01,38,346452871
0,6,1,2,0,0.01,33,347688122
0,6,1,2,1,0.01,33,346283967
0,6,1,2,2,0.01,26,347280455
0,6,1,2,3,0.01,36,346452871
0,6,1,3,0,^,^,347688122
0,6,1,3,1,^,^,346283967
0,6,1,3,2,^,^,347280455
0,6,1,3,3,^,^,346452871
0,6,2,0,0,0.01,17,347688122
0,6,2,0,1,0.01,24,346283967
0,6,2,0,2,0.01,25,347280455
0,6,2,0,3,0.01,27,346452871
0,6,2,1,0,0.01,20,347688122
0,6,2,1,1,0.01,24,346283967
0,6,2,1,2,0.01,26,347280455
0,6,2,1,3,0.01,28,346452871
0,6,2,2,0,0.01,17,347688122
0,6,2,2,1,0.01,23,346283967
0,6,2,2,2,0.01,21,347280455
0,6,2,2,3,0.01,23,346452871
0,6,2,3,0,^,^,347688122
0,6,2,3,1,^,^,346283967
0,6,2,3,2,^,^,347280455
0,6,2,3,3,^,^,346452871
0,6,3,0,0,0.01,20,347688122
0,6,3,0,1,0.01,23,346283967
0,6,3,0,2,0.01,20,347280455
0,6,3,0,3,0.01,23,346452871
0,6,3,1,0,0.01,22,347688122
0,6,3,1,1,0.01,25,346283967
0,6,3,1,2,0.01,22,347280455
0,6,3,1,3,0.01,29,346452871
0,6,3,2,0,0.01,19,347688122
0,6,3,2,1,0.01,21,346283967
0,6,3,2,2,0.01,18,347280455
0,6,3,2,3,0.01,18,346452871
0,6,3,3,0,^,^,347688122
0,6,3,3,1,^,^,346283967
0,6,3,3,2,^,^,347280455
0,6,3,3,3,^,^,346452871
0,7,0,0,0,0.05,154,347688122
0,7,0,0,1,0.06,165,346283967
0,7,0,0,2,0.05,142,347280455
0,7,0,0,3,0.05,138,346452871
0,7,0,1,0,0.05,164,347688122
0,7,0,1,1,0.06,184,346283967
0,7,0,1,2,0.05,146,347280455
0,7,0,1,3,0.06,153,346452871
0,7,0,2,0,0.04,146,347688122
0,7,0,2,1,0.05,151,346283967
0,7,0,2,2,0.05,131,347280455
0,7,0,2,3,0.05,129,346452871
0,7,0,3,0,^,^,347688122
0,7,0,3,1,0.00,14,346283967
0,7,0,3,2,0.00,11,347280455
0,7,0,3,3,^,^,346452871
0,7,1,0,0,0.02,65,347688122
0,7,1,0,1,0.02,63,346283967
0,7,1,0,2,0.02,61,347280455
0,7,1,0,3,0.02,55,346452871
0,7,1,1,0,0.02,69,347688122
0,7,1,1,1,0.02,70,346283967
0,7,1,1,2,0.02,62,347280455
0,7,1,1,3,0.02,56,346452871
0,7,1,2,0,0.02,64,347688122
0,7,1,2,1,0.02,60,346283967
0,7,1,2,2,0.02,58,347280455
0,7,1,2,3,0.02,53,346452871
0,7,1,3,0,^,^,347688122
0,7,1,3,1,^,^,346283967
0,7,1,3,2,^,^,347280455
0,7,1,3,3,^,^,346452871
0,7,2,0,0,0.01,46,347688122
0,7,2,0,1,0.02,61,346283967
0,7,2,0,2,0.02,46,347280455
0,7,2,0,3,0.02,42,346452871
0,7,2,1,0,0.01,46,347688122
