"IM race_eth","IM All Age Groups","IM Modelling 5-Year Year of Death Groups","Crude Rate","Count","Population"
2,5,3,^,^,1100725
2,6,0,^,^,834064
2,6,1,^,^,802021
2,6,2,^,^,877362
2,6,3,^,^,946266
2,7,0,^,^,891916
2,7,1,1.6,13,830313
2,7,2,1.5,12,804143
2,7,3,1.9,16,864121
2,8,0,0.2,16,7818885
2,8,1,0.3,21,7841037
2,8,2,0.2,18,7947469
2,8,3,0.3,26,8050126
2,9,0,1.7,16,930397
2,9,1,2.0,18,892317
2,9,2,1.8,15,828116
2,9,3,2.0,16,789671
2,10,0,3.1,26,834426
2,10,1,4.0,37,925505
2,10,2,2.4,21,880801
2,10,3,2.7,22,808925
2,11,0,4.3,30,699474
2,11,1,2.6,21,820834
2,11,2,4.7,42,903182
2,11,3,5.2,44,852271
2,12,0,5.0,26,516147
2,12,1,7.5,50,666643
2,12,2,5.2,41,782221
2,12,3,6.0,52,865099
2,13,0,11.8,44,372399
2,13,1,10.0,48,478367
2,13,2,9.4,58,620224
2,13,3,6.0,44,738643
2,14,0,16.7,45,268899
2,14,1,14.0,47,335306
2,14,2,14.7,64,436672
2,14,3,14.1,81,573792
2,15,0,29.5,57,192956
2,15,1,23.0,53,230402
2,15,2,20.5,60,292608
2,15,3,15.3,60,392893
2,16,0,44.5,60,134835
2,16,1,28.0,43,153623
2,16,2,26.4,50,189109
2,16,3,21.1,53,250915
2,17,0,44.5,36,80896
2,17,1,45.7,44,96177
2,17,2,36.5,42,115023
2,17,3,27.2,41,150949
2,18,0,58.0,37,63817
2,18,1,36.7,27,73633
2,18,2,51.8,50,96533
2,18,3,26.8,36,134140
3,0,0,^,^,4371149
3,0,1,^,^,5118844
3,0,2,^,^,5628150
3,0,3,^,^,6412096
3,1,0,^,^,4207558
3,1,1,^,^,4824009
3,1,2,^,^,5625852
3,1,3,^,^,6193640
3,2,0,^,^,4282467
3,2,1,^,^,4812396
3,2,2,^,^,5412986
3,2,3,^,^,6051112
3,3,0,^,^,4474202
3,3,1,^,^,5114942
3,3,2,^,^,5579191
3,3,3,^,^,6107841
3,4,0,^,^,5155519
3,4,1,0.2,14,5814096
3,4,2,^,^,6661128
3,4,3,0.2,12,7038124
3,5,0,0.3,15,5761658
3,5,1,0.2,16,6556997
3,5,2,0.3,20,7266685
3,5,3,0.3,28,8493336
3,6,0,0.7,41,5848849
3,6,1,0.7,44,6598062
3,6,2,0.5,35,7328597
3,6,3,0.5,40,8638265
3,7,0,1.4,76,5332113
3,7,1,1.2,78,6445743
3,7,2,1.0,74,7170455
3,7,3,1.0,82,8149441
3,8,0,0.4,140,39433515
3,8,1,0.3,155,45285089
3,8,2,0.3,136,50673044
3,8,3,0.3,163,57083855
3,9,0,2.5,127,4983863
3,9,1,2.2,126,5760652
3,9,2,1.6,107,6856933
3,9,3,1.8,135,7632662
3,10,0,4.0,181,4506408
3,10,1,3.4,183,5360578
3,10,2,2.9,178,6082991
3,10,3,2.9,205,7125961
3,11,0,5.7,222,3867796
3,11,1,4.8,231,4796490
3,11,2,5.0,277,5595720
3,11,3,4.0,252,6239285
3,12,0,9.0,255,2820316
3,12,1,7.5,304,4059307
3,12,2,7.5,371,4959495
3,12,3,6.4,363,5697637
3,13,0,13.9,293,2114054
3,13,1,11.5,339,2938741
3,13,2,9.6,395,4133811
3,13,3,9.1,454,5015838
3,14,0,21.3,353,1659075
3,14,1,18.7,409,2185574
3,14,2,15.0,449,2988581
3,14,3,13.1,544,4151753
3,15,0,34.4,448,1302152
3,15,1,27.7,454,1636080
3,15,2,20.1,430,2142781
3,15,3,16.9,498,2944403
3,16,0,49.4,466,943545
3,16,1,44.6,531,1191198
3,16,2,34.7,525,1511913
3,16,3,26.8,544,2026342
3,17,0,73.6,419,569501
3,17,1,62.6,489,781410
3,17,2,47.7,485,1015827
3,17,3,44.2,591,1336691
3,18,0,108.8,436,400773
3,18,1,89.9,535,594948
3,18,2,73.4,656,894215
3,18,3,61.3,817,1333171
4,0,0,^,^,20422718
4,0,1,^,^,24375487
4,0,2,^,^,25415647
4,0,3,^,^,25240170
4,1,0,^,^,18671728
4,1,1,^,^,21323349
4,1,2,^,^,25043800
4,1,3,^,^,26075854
4,2,0,^,^,17842003
4,2,1,^,^,21103228
4,2,2,^,^,23487172
4,2,3,^,^,25755296
4,3,0,^,^,16924096
4,3,1,^,^,20577272
4,3,2,^,^,22881173
4,3,3,^,^,24408779
4,4,0,0.1,17,18335070
4,4,1,0.2,34,20227112
4,4,2,0.1,27,22755469
4,4,3,0.1,27,24054757
4,5,0,0.3,56,18022619
4,5,1,0.4,78,20567435
4,5,2,0.4,83,21809966
4,5,3,0.3,76,23759861
4,6,0,0.7,118,16979306
4,6,1,0.8,151,19374010
4,6,2,0.9,191,21431544
4,6,3,0.9,194,22542432
4,7,0,1.5,226,15239763
4,7,1,1.2,222,17905628
4,7,2,1.4,278,19902480
4,7,3,1.6,352,21839593
4,8,0,0.3,423,142437303
4,8,1,0.3,492,165453521
4,8,2,0.3,585,182727251
4,8,3,0.3,654,193676742
4,9,0,2.2,291,13001590
4,9,1,2.1,335,15879315
4,9,2,2.5,447,18239887
4,9,3,2.5,502,20043434
4,10,0,3.8,392,10186745
4,10,1,3.5,467,13383076
4,10,2,3.3,529,15996578
4,10,3,3.6,648,18161051
4,11,0,6.1,475,7839237
4,11,1,5.1,537,10463184
4,11,2,5.2,695,13412284
4,11,3,5.0,790,15778386
4,12,0,8.9,502,5669207
4,12,1,7.5,593,7934249
4,12,2,7.3,759,10406927
4,12,3,7.1,927,13108949
4,13,0,14.2,590,4168553
4,13,1,11.0,622,5641078
4,13,2,9.9,766,7746060
4,13,3,9.7,973,10081699
4,14,0,20.0,657,3285378
4,14,1,16.2,663,4105085
4,14,2,15.7,866,5508295
4,14,3,13.2,981,7419807
4,15,0,31.2,809,2596325
4,15,1,23.0,714,3110304
4,15,2,21.9,848,3878972
4,15,3,19.3,1002,5182252
4,16,0,41.5,770,1854327
4,16,1,36.3,845,2326347
4,16,2,30.9,869,2808730
4,16,3,26.8,943,3524143
4,17,0,55.0,600,1091362
4,17,1,46.1,698,1515670
4,17,2,39.6,772,1949468
4,17,3,33.9,812,2395306
4,18,0,70.8,584,824702
4,18,1,64.2,717,1115978
4,18,2,53.2,859,1615250
4,18,3,48.4,1101,2276392
5,0,0,^,^,97284033
5,0,1,^,^,100497890
5,0,2,^,^,100030715
5,0,3,^,^,99106325
5,1,0,^,^,99584719
5,1,1,^,^,98760467
5,1,2,^,^,102241850
5,1,3,^,^,101706393
5,2,0,^,^,105704828
5,2,1,^,^,104453978
5,2,2,^,^,103400640
5,2,3,^,^,103739964
5,3,0,0.0,22,103261327
5,3,1,0.0,16,109765429
5,3,2,0.0,14,107261470
5,3,3,0.0,18,105479490
5,4,0,0.1,72,100554966
5,4,1,0.1,85,105638823
5,4,2,0.1,86,112182551
5,4,3,0.1,81,110587846
5,5,0,0.2,180,94669590
5,5,1,0.2,199,102168315
5,5,2,0.2,219,107373172
5,5,3,0.2,218,115818493
5,6,0,0.4,453,102466426
5,6,1,0.4,422,97129789
5,6,2,0.4,430,104274182
5,6,3,0.4,445,110032475
5,7,0,0.8,828,108776796
5,7,1,0.8,800,104029036
5,7,2,0.8,757,98644445
5,7,3,0.8,851,105587803
5,8,0,0.2,1558,812302685
5,8,1,0.2,1525,822443727
5,8,2,0.2,1511,835409025
5,8,3,0.2,1617,852058789
5,9,0,1.3,1514,114038929
5,9,1,1.3,1407,109196830
5,9,2,1.3,1332,104331168
5,9,3,1.3,1298,98991166
5,10,0,2.2,2313,105958736
5,10,1,2.1,2386,113615436
5,10,2,2.0,2154,108504167
5,10,3,2.0,2075,103671839
5,11,0,3.6,3369,93868584
5,11,1,3.2,3384,105434101
5,11,2,3.2,3624,112542874
5,11,3,3.0,3198,106703586
5,12,0,5.4,4057,75099712
5,12,1,4.7,4329,92450023
5,12,2,4.6,4708,103447461
5,12,3,4.4,4844,109407115
5,13,0,8.7,5110,58452230
5,13,1,7.0,5117,72812684
5,13,2,6.4,5724,89245174
5,13,3,6.1,6059,99255206
5,14,0,12.8,6217,48628848
5,14,1,10.7,5954,55488787
5,14,2,9.1,6280,69268293
5,14,3,8.3,6961,84135347
5,15,0,18.8,8219,43696251
5,15,1,15.3,6751,44033442
5,15,2,13.4,6781,50617901
5,15,3,11.1,7074,63468582
5,16,0,25.3,9454,37323734
5,16,1,21.7,8020,36951813
5,16,2,18.9,7153,37801601
5,16,3,15.9,6999,44098249
5,17,0,33.4,8792,26344248
5,17,1,28.7,8156,28404456
5,17,2,24.5,7075,28833799
5,17,3,22.0,6610,30058627
5,18,0,48.0,10528,21955833
5,18,1,38.8,9754,25161914
5,18,2,33.7,9846,29233099
5,18,3,28.9,9321,32252523
