yr00_04,yr05_09,yr10_14,yr15_19,yr20_24,yr25_29,yr30_34
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.12542384708689433,0,0.06271192354344717,0.06271192354344717,0.06271192354344717
0,0.31795455005043394,0.3276631428720524,0.11231203878359323,0.21998759082782285,0.21998759082782285,0.21998759082782285
0.6248364345321813,0.6355229759134088,0.6507471390590321,0.3641159816208817,0.5074315603399568,0.5074315603399568,0.5074315603399568
0.9711473733943494,0.7010693310353521,0.9564128966486753,0.6843473290810863,0.8203801128648808,0.8203801128648808,0.8203801128648808
1.6073804788233363,1.2558000251160004,1.672917513340796,1.1594222102231226,0.6363494364851141,0.31696139275853735,0.14098819481696337
2.8830082638844567,2.8018999184378446,2.178334157442459,1.5640834016937086,1.350958320964633,0.7462502595064384,0.38050228236289724
3.777993287655752,3.639921279324116,2.98253346529257,2.4515887827555245,1.6229523670483352,1.3235381435920772,0.7292123517979449
7.05313516498304,4.587427390664652,5.590359601140434,3.4252342717523785,2.440847616959821,1.7772529363107925,1.4548109571154242
10.255601641665432,9.315915596849214,6.750408659354993,5.534635107893454,3.678275289514222,2.57737980377014,1.8833307769272964
18.513200734932926,14.497678708828753,10.712474202867355,6.90010283379062,5.703514710337071,3.7905246186082504,2.6619071540539956
27.891564258833718,21.00664180586509,16.083341732411792,10.834958125595584,6.384733616758099,5.327450433904505,3.5199385045984437
37.76341439588014,32.33375937356856,23.29851718759255,14.515289572007465,9.896987298992473,5.822715073343998,4.841863186469772
46.80347296786579,35.70943943321978,30.273003628555852,18.876817626492265,11.279385098464715,7.410247836267069,4.216247878169056
56.36655134587798,48.2818489509671,36.26785397926883,23.96553779750686,15.067672262025487,8.963775223586866,5.7685720481518645
