"IM Race-Ethnicity no Unknown","18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Crude Rate","Count","Population"
0,2,1,1,2,^,^,347280455
0,2,1,1,3,^,^,346452871
0,2,1,2,0,^,^,347688122
0,2,1,2,1,^,^,346283967
0,2,1,2,2,^,^,347280455
0,2,1,2,3,^,^,346452871
0,2,2,0,0,^,^,347688122
0,2,2,0,1,^,^,346283967
0,2,2,0,2,^,^,347280455
0,2,2,0,3,^,^,346452871
0,2,2,1,0,^,^,347688122
0,2,2,1,1,^,^,346283967
0,2,2,1,2,^,^,347280455
0,2,2,1,3,^,^,346452871
0,2,2,2,0,^,^,347688122
0,2,2,2,1,^,^,346283967
0,2,2,2,2,^,^,347280455
0,2,2,2,3,^,^,346452871
0,2,3,0,0,^,^,347688122
0,2,3,0,1,^,^,346283967
0,2,3,0,2,^,^,347280455
0,2,3,0,3,^,^,346452871
0,2,3,1,0,^,^,347688122
0,2,3,1,1,^,^,346283967
0,2,3,1,2,^,^,347280455
0,2,3,1,3,^,^,346452871
0,2,3,2,0,^,^,347688122
0,2,3,2,1,^,^,346283967
0,2,3,2,2,^,^,347280455
0,2,3,2,3,^,^,346452871
0,3,0,0,0,^,^,347688122
0,3,0,0,1,^,^,346283967
0,3,0,0,2,^,^,347280455
0,3,0,0,3,^,^,346452871
0,3,0,1,0,^,^,347688122
0,3,0,1,1,^,^,346283967
0,3,0,1,2,^,^,347280455
0,3,0,1,3,^,^,346452871
0,3,0,2,0,^,^,347688122
0,3,0,2,1,^,^,346283967
0,3,0,2,2,^,^,347280455
0,3,0,2,3,^,^,346452871
0,3,1,0,0,^,^,347688122
0,3,1,0,1,^,^,346283967
0,3,1,0,2,^,^,347280455
0,3,1,0,3,^,^,346452871
0,3,1,1,0,^,^,347688122
0,3,1,1,1,^,^,346283967
0,3,1,1,2,^,^,347280455
0,3,1,1,3,^,^,346452871
0,3,1,2,0,^,^,347688122
0,3,1,2,1,^,^,346283967
0,3,1,2,2,^,^,347280455
0,3,1,2,3,^,^,346452871
0,3,2,0,0,^,^,347688122
0,3,2,0,1,^,^,346283967
0,3,2,0,2,^,^,347280455
0,3,2,0,3,^,^,346452871
0,3,2,1,0,^,^,347688122
0,3,2,1,1,^,^,346283967
0,3,2,1,2,^,^,347280455
0,3,2,1,3,^,^,346452871
0,3,2,2,0,^,^,347688122
0,3,2,2,1,^,^,346283967
0,3,2,2,2,^,^,347280455
0,3,2,2,3,^,^,346452871
0,3,3,0,0,^,^,347688122
0,3,3,0,1,^,^,346283967
0,3,3,0,2,^,^,347280455
0,3,3,0,3,^,^,346452871
0,3,3,1,0,^,^,347688122
0,3,3,1,1,^,^,346283967
0,3,3,1,2,^,^,347280455
0,3,3,1,3,^,^,346452871
0,3,3,2,0,^,^,347688122
0,3,3,2,1,^,^,346283967
0,3,3,2,2,^,^,347280455
0,3,3,2,3,^,^,346452871
0,4,0,0,0,0.00,15,347688122
0,4,0,0,1,0.01,19,346283967
0,4,0,0,2,0.01,20,347280455
0,4,0,0,3,0.01,19,346452871
0,4,0,1,0,0.00,13,347688122
0,4,0,1,1,0.00,15,346283967
0,4,0,1,2,0.01,18,347280455
0,4,0,1,3,0.00,17,346452871
0,4,0,2,0,^,^,347688122
0,4,0,2,1,^,^,346283967
0,4,0,2,2,^,^,347280455
0,4,0,2,3,^,^,346452871
0,4,1,0,0,^,^,347688122
0,4,1,0,1,^,^,346283967
0,4,1,0,2,0.00,11,347280455
0,4,1,0,3,0.00,10,346452871
0,4,1,1,0,^,^,347688122
0,4,1,1,1,^,^,346283967
0,4,1,1,2,0.00,10,347280455
0,4,1,1,3,^,^,346452871
0,4,1,2,0,^,^,347688122
0,4,1,2,1,^,^,346283967
0,4,1,2,2,^,^,347280455
0,4,1,2,3,^,^,346452871
0,4,2,0,0,^,^,347688122
0,4,2,0,1,^,^,346283967
0,4,2,0,2,^,^,347280455
0,4,2,0,3,^,^,346452871
0,4,2,1,0,^,^,347688122
0,4,2,1,1,^,^,346283967
0,4,2,1,2,^,^,347280455
0,4,2,1,3,^,^,346452871
0,4,2,2,0,^,^,347688122
0,4,2,2,1,^,^,346283967
0,4,2,2,2,^,^,347280455
0,4,2,2,3,^,^,346452871
0,4,3,0,0,^,^,347688122
0,4,3,0,1,^,^,346283967
0,4,3,0,2,^,^,347280455
0,4,3,0,3,^,^,346452871
0,4,3,1,0,^,^,347688122
0,4,3,1,1,^,^,346283967
0,4,3,1,2,^,^,347280455
0,4,3,1,3,^,^,346452871
0,4,3,2,0,^,^,347688122
0,4,3,2,1,^,^,346283967
0,4,3,2,2,^,^,347280455
0,4,3,2,3,^,^,346452871
0,5,0,0,0,0.01,31,347688122
0,5,0,0,1,0.01,30,346283967
0,5,0,0,2,0.01,40,347280455
0,5,0,0,3,0.01,38,346452871
0,5,0,1,0,0.01,27,347688122
0,5,0,1,1,0.01,24,346283967
0,5,0,1,2,0.01,30,347280455
0,5,0,1,3,0.01,34,346452871
0,5,0,2,0,^,^,347688122
0,5,0,2,1,^,^,346283967
0,5,0,2,2,^,^,347280455
0,5,0,2,3,^,^,346452871
0,5,1,0,0,^,^,347688122
0,5,1,0,1,0.00,10,346283967
0,5,1,0,2,0.00,13,347280455
0,5,1,0,3,0.01,18,346452871
0,5,1,1,0,^,^,347688122
0,5,1,1,1,^,^,346283967
0,5,1,1,2,0.00,13,347280455
0,5,1,1,3,0.01,18,346452871
0,5,1,2,0,^,^,347688122
0,5,1,2,1,^,^,346283967
0,5,1,2,2,^,^,347280455
0,5,1,2,3,^,^,346452871
0,5,2,0,0,0.00,11,347688122
0,5,2,0,1,0.00,10,346283967
0,5,2,0,2,^,^,347280455
0,5,2,0,3,0.00,12,346452871
0,5,2,1,0,0.00,10,347688122
0,5,2,1,1,^,^,346283967
0,5,2,1,2,^,^,347280455
0,5,2,1,3,0.00,11,346452871
0,5,2,2,0,^,^,347688122
0,5,2,2,1,^,^,346283967
0,5,2,2,2,^,^,347280455
0,5,2,2,3,^,^,346452871
0,5,3,0,0,0.00,14,347688122
0,5,3,0,1,0.00,10,346283967
0,5,3,0,2,0.01,19,347280455
0,5,3,0,3,^,^,346452871
0,5,3,1,0,0.00,12,347688122
0,5,3,1,1,^,^,346283967
0,5,3,1,2,0.00,10,347280455
0,5,3,1,3,^,^,346452871
0,5,3,2,0,^,^,347688122
0,5,3,2,1,^,^,346283967
0,5,3,2,2,^,^,347280455
0,5,3,2,3,^,^,346452871
0,6,0,0,0,0.02,76,347688122
0,6,0,0,1,0.02,85,346283967
0,6,0,0,2,0.02,76,347280455
0,6,0,0,3,0.03,95,346452871
0,6,0,1,0,0.02,69,347688122
0,6,0,1,1,0.02,77,346283967
0,6,0,1,2,0.02,65,347280455
0,6,0,1,3,0.02,77,346452871
0,6,0,2,0,^,^,347688122
0,6,0,2,1,^,^,346283967
0,6,0,2,2,^,^,347280455
0,6,0,2,3,^,^,346452871
0,6,1,0,0,0.01,34,347688122
0,6,1,0,1,0.01,36,346283967
0,6,1,0,2,0.01,28,347280455
0,6,1,0,3,0.01,38,346452871
0,6,1,1,0,0.01,33,347688122
0,6,1,1,1,0.01,33,346283967
0,6,1,1,2,0.01,26,347280455
0,6,1,1,3,0.01,36,346452871
0,6,1,2,0,^,^,347688122
0,6,1,2,1,^,^,346283967
0,6,1,2,2,^,^,347280455
0,6,1,2,3,^,^,346452871
0,6,2,0,0,0.01,20,347688122
0,6,2,0,1,0.01,24,346283967
0,6,2,0,2,0.01,26,347280455
0,6,2,0,3,0.01,28,346452871
0,6,2,1,0,0.00,17,347688122
0,6,2,1,1,0.01,23,346283967
0,6,2,1,2,0.01,21,347280455
0,6,2,1,3,0.01,23,346452871
0,6,2,2,0,^,^,347688122
0,6,2,2,1,^,^,346283967
0,6,2,2,2,^,^,347280455
0,6,2,2,3,^,^,346452871
0,6,3,0,0,0.01,22,347688122
0,6,3,0,1,0.01,25,346283967
0,6,3,0,2,0.01,22,347280455
0,6,3,0,3,0.01,29,346452871
0,6,3,1,0,0.01,19,347688122
0,6,3,1,1,0.01,21,346283967
0,6,3,1,2,0.01,18,347280455
0,6,3,1,3,0.01,18,346452871
0,6,3,2,0,^,^,347688122
0,6,3,2,1,^,^,346283967
0,6,3,2,2,^,^,347280455
0,6,3,2,3,^,^,346452871
0,7,0,0,0,0.05,164,347688122
0,7,0,0,1,0.05,184,346283967
0,7,0,0,2,0.04,146,347280455
0,7,0,0,3,0.04,153,346452871
0,7,0,1,0,0.04,146,347688122
0,7,0,1,1,0.04,151,346283967
0,7,0,1,2,0.04,131,347280455
0,7,0,1,3,0.04,129,346452871
0,7,0,2,0,^,^,347688122
0,7,0,2,1,0.00,14,346283967
0,7,0,2,2,0.00,11,347280455
0,7,0,2,3,^,^,346452871
0,7,1,0,0,0.02,69,347688122
0,7,1,0,1,0.02,70,346283967
0,7,1,0,2,0.02,62,347280455
0,7,1,0,3,0.02,56,346452871
0,7,1,1,0,0.02,64,347688122
0,7,1,1,1,0.02,60,346283967
0,7,1,1,2,0.02,58,347280455
0,7,1,1,3,0.02,53,346452871
0,7,1,2,0,^,^,347688122
0,7,1,2,1,^,^,346283967
0,7,1,2,2,^,^,347280455
0,7,1,2,3,^,^,346452871
0,7,2,0,0,0.01,46,347688122
0,7,2,0,1,0.02,64,346283967
0,7,2,0,2,0.01,46,347280455
0,7,2,0,3,0.01,46,346452871
0,7,2,1,0,0.01,43,347688122
0,7,2,1,1,0.02,56,346283967
0,7,2,1,2,0.01,39,347280455
0,7,2,1,3,0.01,37,346452871
0,7,2,2,0,^,^,347688122
0,7,2,2,1,^,^,346283967
0,7,2,2,2,^,^,347280455
0,7,2,2,3,^,^,346452871
0,7,3,0,0,0.01,49,347688122
0,7,3,0,1,0.01,50,346283967
0,7,3,0,2,0.01,38,347280455
0,7,3,0,3,0.01,51,346452871
0,7,3,1,0,0.01,39,347688122
0,7,3,1,1,0.01,35,346283967
0,7,3,1,2,0.01,34,347280455
0,7,3,1,3,0.01,39,346452871
0,7,3,2,0,^,^,347688122
0,7,3,2,1,^,^,346283967
0,7,3,2,2,^,^,347280455
0,7,3,2,3,^,^,346452871
0,8,0,0,0,0.08,291,347688122
0,8,0,0,1,0.09,321,346283967
0,8,0,0,2,0.08,286,347280455
0,8,0,0,3,0.09,314,346452871
0,8,0,1,0,0.07,260,347688122
0,8,0,1,1,0.08,270,346283967
0,8,0,1,2,0.07,247,347280455
0,8,0,1,3,0.08,265,346452871
0,8,0,2,0,0.00,11,347688122
0,8,0,2,1,0.01,25,346283967
0,8,0,2,2,0.01,25,347280455
0,8,0,2,3,0.01,23,346452871
0,8,1,0,0,0.03,114,347688122
0,8,1,0,1,0.04,126,346283967
0,8,1,0,2,0.03,115,347280455
0,8,1,0,3,0.04,125,346452871
0,8,1,1,0,0.03,107,347688122
0,8,1,1,1,0.03,110,346283967
0,8,1,1,2,0.03,108,347280455
0,8,1,1,3,0.03,119,346452871
0,8,1,2,0,^,^,347688122
0,8,1,2,1,^,^,346283967
0,8,1,2,2,^,^,347280455
0,8,1,2,3,^,^,346452871
0,8,2,0,0,0.02,81,347688122
0,8,2,0,1,0.03,106,346283967
0,8,2,0,2,0.02,83,347280455
0,8,2,0,3,0.03,92,346452871
0,8,2,1,0,0.02,74,347688122
0,8,2,1,1,0.03,93,346283967
0,8,2,1,2,0.02,70,347280455
0,8,2,1,3,0.02,76,346452871
0,8,2,2,0,^,^,347688122
0,8,2,2,1,^,^,346283967
0,8,2,2,2,0.00,12,347280455
0,8,2,2,3,0.00,10,346452871
0,8,3,0,0,0.03,96,347688122
0,8,3,0,1,0.03,89,346283967
0,8,3,0,2,0.03,88,347280455
0,8,3,0,3,0.03,97,346452871
0,8,3,1,0,0.02,79,347688122
0,8,3,1,1,0.02,67,346283967
0,8,3,1,2,0.02,69,347280455
0,8,3,1,3,0.02,70,346452871
0,8,3,2,0,^,^,347688122
0,8,3,2,1,0.00,10,346283967
0,8,3,2,2,^,^,347280455
0,8,3,2,3,0.00,11,346452871
0,9,0,0,0,0.08,293,347688122
0,9,0,0,1,0.10,360,346283967
0,9,0,0,2,0.09,301,347280455
0,9,0,0,3,0.08,289,346452871
0,9,0,1,0,0.07,258,347688122
0,9,0,1,1,0.09,311,346283967
0,9,0,1,2,0.08,264,347280455
0,9,0,1,3,0.07,242,346452871
0,9,0,2,0,^,^,347688122
0,9,0,2,1,0.01,25,346283967
0,9,0,2,2,0.01,19,347280455
0,9,0,2,3,0.01,29,346452871
0,9,1,0,0,0.04,131,347688122
0,9,1,0,1,0.04,147,346283967
0,9,1,0,2,0.04,123,347280455
0,9,1,0,3,0.04,126,346452871
0,9,1,1,0,0.03,116,347688122
0,9,1,1,1,0.04,136,346283967
0,9,1,1,2,0.03,116,347280455
0,9,1,1,3,0.03,113,346452871
0,9,1,2,0,^,^,347688122
0,9,1,2,1,^,^,346283967
0,9,1,2,2,^,^,347280455
0,9,1,2,3,^,^,346452871
0,9,2,0,0,0.02,77,347688122
0,9,2,0,1,0.03,110,346283967
0,9,2,0,2,0.03,111,347280455
0,9,2,0,3,0.03,102,346452871
0,9,2,1,0,0.02,71,347688122
0,9,2,1,1,0.03,94,346283967
0,9,2,1,2,0.03,97,347280455
0,9,2,1,3,0.02,83,346452871
0,9,2,2,0,^,^,347688122
0,9,2,2,1,0.00,14,346283967
0,9,2,2,2,0.00,11,347280455
0,9,2,2,3,0.00,16,346452871
0,9,3,0,0,0.02,85,347688122
0,9,3,0,1,0.03,103,346283967
0,9,3,0,2,0.02,67,347280455
0,9,3,0,3,0.02,61,346452871
0,9,3,1,0,0.02,71,347688122
0,9,3,1,1,0.02,81,346283967
0,9,3,1,2,0.01,51,347280455
0,9,3,1,3,0.01,46,346452871
0,9,3,2,0,^,^,347688122
0,9,3,2,1,0.00,10,346283967
0,9,3,2,2,^,^,347280455
0,9,3,2,3,^,^,346452871
0,10,0,0,0,0.16,546,347688122
0,10,0,0,1,0.20,697,346283967
0,10,0,0,2,0.18,627,347280455
0,10,0,0,3,0.17,592,346452871
0,10,0,1,0,0.14,484,347688122
0,10,0,1,1,0.18,611,346283967
0,10,0,1,2,0.16,550,347280455
0,10,0,1,3,0.14,494,346452871
0,10,0,2,0,0.01,25,347688122
0,10,0,2,1,0.01,42,346283967
0,10,0,2,2,0.01,36,347280455
0,10,0,2,3,0.02,60,346452871
0,10,1,0,0,0.07,259,347688122
0,10,1,0,1,0.10,332,346283967
0,10,1,0,2,0.09,307,347280455
0,10,1,0,3,0.08,288,346452871
0,10,1,1,0,0.07,242,347688122
0,10,1,1,1,0.09,301,346283967
0,10,1,1,2,0.08,288,347280455
0,10,1,1,3,0.08,266,346452871
0,10,1,2,0,^,^,347688122
0,10,1,2,1,^,^,346283967
0,10,1,2,2,^,^,347280455
0,10,1,2,3,^,^,346452871
0,10,2,0,0,0.04,126,347688122
0,10,2,0,1,0.05,176,346283967
0,10,2,0,2,0.05,168,347280455
0,10,2,0,3,0.05,161,346452871
0,10,2,1,0,0.03,112,347688122
0,10,2,1,1,0.04,153,346283967
0,10,2,1,2,0.04,146,347280455
0,10,2,1,3,0.04,130,346452871
0,10,2,2,0,^,^,347688122
0,10,2,2,1,0.00,17,346283967
0,10,2,2,2,0.00,17,347280455
0,10,2,2,3,0.01,28,346452871
0,10,3,0,0,0.05,161,347688122
0,10,3,0,1,0.05,189,346283967
0,10,3,0,2,0.04,152,347280455
0,10,3,0,3,0.04,143,346452871
0,10,3,1,0,0.04,130,347688122
0,10,3,1,1,0.05,157,346283967
0,10,3,1,2,0.03,116,347280455
0,10,3,1,3,0.03,98,346452871
0,10,3,2,0,0.00,10,347688122
0,10,3,2,1,0.00,16,346283967
0,10,3,2,2,0.00,16,347280455
0,10,3,2,3,0.01,24,346452871
0,11,0,0,0,0.25,875,347688122
0,11,0,0,1,0.33,1130,346283967
0,11,0,0,2,0.36,1239,347280455
0,11,0,0,3,0.31,1065,346452871
0,11,0,1,0,0.23,785,347688122
0,11,0,1,1,0.29,990,346283967
0,11,0,1,2,0.30,1058,347280455
0,11,0,1,3,0.26,905,346452871
0,11,0,2,0,0.01,20,347688122
0,11,0,2,1,0.02,56,346283967
0,11,0,2,2,0.02,74,347280455
0,11,0,2,3,0.03,91,346452871
0,11,1,0,0,0.12,420,347688122
0,11,1,0,1,0.16,556,346283967
0,11,1,0,2,0.18,623,347280455
0,11,1,0,3,0.16,538,346452871
0,11,1,1,0,0.11,388,347688122
0,11,1,1,1,0.15,516,346283967
0,11,1,1,2,0.17,577,347280455
0,11,1,1,3,0.14,495,346452871
0,11,1,2,0,^,^,347688122
0,11,1,2,1,^,^,346283967
0,11,1,2,2,0.00,11,347280455
0,11,1,2,3,0.00,16,346452871
0,11,2,0,0,0.07,238,347688122
0,11,2,0,1,0.09,316,346283967
0,11,2,0,2,0.09,323,347280455
0,11,2,0,3,0.08,286,346452871
0,11,2,1,0,0.06,214,347688122
0,11,2,1,1,0.08,278,346283967
0,11,2,1,2,0.08,264,347280455
0,11,2,1,3,0.07,239,346452871
0,11,2,2,0,^,^,347688122
0,11,2,2,1,0.01,27,346283967
0,11,2,2,2,0.01,41,347280455
0,11,2,2,3,0.01,33,346452871
0,11,3,0,0,0.06,217,347688122
0,11,3,0,1,0.07,258,346283967
0,11,3,0,2,0.08,293,347280455
0,11,3,0,3,0.07,241,346452871
0,11,3,1,0,0.05,183,347688122
0,11,3,1,1,0.06,196,346283967
0,11,3,1,2,0.06,217,347280455
0,11,3,1,3,0.05,171,346452871
0,11,3,2,0,^,^,347688122
0,11,3,2,1,0.01,21,346283967
0,11,3,2,2,0.01,22,347280455
0,11,3,2,3,0.01,42,346452871
0,12,0,0,0,0.32,1127,347688122
0,12,0,0,1,0.44,1536,346283967
0,12,0,0,2,0.48,1667,347280455
0,12,0,0,3,0.49,1709,346452871
0,12,0,1,0,0.28,985,347688122
0,12,0,1,1,0.39,1355,346283967
0,12,0,1,2,0.41,1434,347280455
0,12,0,1,3,0.41,1432,346452871
0,12,0,2,0,0.01,32,347688122
0,12,0,2,1,0.02,68,346283967
0,12,0,2,2,0.03,97,347280455
0,12,0,2,3,0.04,148,346452871
0,12,1,0,0,0.16,571,347688122
0,12,1,0,1,0.23,781,346283967
0,12,1,0,2,0.26,913,347280455
0,12,1,0,3,0.27,935,346452871
0,12,1,1,0,0.15,508,347688122
0,12,1,1,1,0.21,724,346283967
0,12,1,1,2,0.24,836,347280455
0,12,1,1,3,0.24,846,346452871
0,12,1,2,0,^,^,347688122
0,12,1,2,1,0.00,12,346283967
0,12,1,2,2,0.00,14,347280455
0,12,1,2,3,0.01,25,346452871
0,12,2,0,0,0.08,276,347688122
0,12,2,0,1,0.13,461,346283967
0,12,2,0,2,0.12,406,347280455
0,12,2,0,3,0.12,430,346452871
0,12,2,1,0,0.07,251,347688122
0,12,2,1,1,0.12,413,346283967
0,12,2,1,2,0.10,346,347280455
0,12,2,1,3,0.10,342,346452871
0,12,2,2,0,0.00,14,347688122
0,12,2,2,1,0.01,28,346283967
0,12,2,2,2,0.01,44,347280455
0,12,2,2,3,0.02,66,346452871
0,12,3,0,0,0.08,280,347688122
0,12,3,0,1,0.08,294,346283967
0,12,3,0,2,0.10,348,347280455
0,12,3,0,3,0.10,344,346452871
0,12,3,1,0,0.07,226,347688122
0,12,3,1,1,0.06,218,346283967
0,12,3,1,2,0.07,252,347280455
0,12,3,1,3,0.07,244,346452871
0,12,3,2,0,0.00,11,347688122
0,12,3,2,1,0.01,28,346283967
0,12,3,2,2,0.01,39,347280455
0,12,3,2,3,0.02,57,346452871
0,13,0,0,0,0.43,1485,347688122
0,13,0,0,1,0.57,1960,346283967
0,13,0,0,2,0.63,2185,347280455
0,13,0,0,3,0.68,2372,346452871
0,13,0,1,0,0.38,1318,347688122
0,13,0,1,1,0.50,1721,346283967
0,13,0,1,2,0.55,1910,347280455
0,13,0,1,3,0.57,1971,346452871
0,13,0,2,0,0.01,29,347688122
0,13,0,2,1,0.02,86,346283967
0,13,0,2,2,0.03,118,347280455
0,13,0,2,3,0.06,221,346452871
0,13,1,0,0,0.20,681,347688122
0,13,1,0,1,0.27,951,346283967
0,13,1,0,2,0.34,1172,347280455
0,13,1,0,3,0.37,1282,346452871
0,13,1,1,0,0.18,623,347688122
0,13,1,1,1,0.25,873,346283967
0,13,1,1,2,0.31,1093,347280455
0,13,1,1,3,0.34,1180,346452871
0,13,1,2,0,^,^,347688122
0,13,1,2,1,0.01,19,346283967
0,13,1,2,2,0.00,17,347280455
0,13,1,2,3,0.01,30,346452871
0,13,2,0,0,0.12,416,347688122
0,13,2,0,1,0.17,588,346283967
0,13,2,0,2,0.16,551,347280455
0,13,2,0,3,0.18,612,346452871
0,13,2,1,0,0.11,381,347688122
0,13,2,1,1,0.15,511,346283967
0,13,2,1,2,0.14,471,347280455
0,13,2,1,3,0.14,469,346452871
0,13,2,2,0,0.00,13,347688122
0,13,2,2,1,0.01,39,346283967
0,13,2,2,2,0.02,53,347280455
0,13,2,2,3,0.03,114,346452871
0,13,3,0,0,0.11,388,347688122
0,13,3,0,1,0.12,421,346283967
0,13,3,0,2,0.13,462,347280455
0,13,3,0,3,0.14,478,346452871
0,13,3,1,0,0.09,314,347688122
0,13,3,1,1,0.10,337,346283967
0,13,3,1,2,0.10,346,347280455
0,13,3,1,3,0.09,322,346452871
0,13,3,2,0,0.00,12,347688122
0,13,3,2,1,0.01,28,346283967
0,13,3,2,2,0.01,48,347280455
0,13,3,2,3,0.02,77,346452871
0,14,0,0,0,0.51,1782,347688122
0,14,0,0,1,0.66,2275,346283967
0,14,0,0,2,0.75,2605,347280455
0,14,0,0,3,0.86,2983,346452871
0,14,0,1,0,0.45,1550,347688122
0,14,0,1,1,0.58,1992,346283967
0,14,0,1,2,0.64,2232,347280455
0,14,0,1,3,0.72,2487,346452871
0,14,0,2,0,0.02,57,347688122
0,14,0,2,1,0.03,111,346283967
0,14,0,2,2,0.05,176,347280455
0,14,0,2,3,0.08,278,346452871
0,14,1,0,0,0.23,790,347688122
0,14,1,0,1,0.30,1052,346283967
0,14,1,0,2,0.37,1299,347280455
0,14,1,0,3,0.45,1573,346452871
0,14,1,1,0,0.20,707,347688122
0,14,1,1,1,0.28,976,346283967
0,14,1,1,2,0.35,1201,347280455
0,14,1,1,3,0.42,1450,346452871
0,14,1,2,0,^,^,347688122
0,14,1,2,1,0.00,16,346283967
0,14,1,2,2,0.01,29,347280455
0,14,1,2,3,0.01,43,346452871
0,14,2,0,0,0.16,565,347688122
0,14,2,0,1,0.21,718,346283967
0,14,2,0,2,0.22,752,347280455
0,14,2,0,3,0.23,806,346452871
0,14,2,1,0,0.15,507,347688122
0,14,2,1,1,0.18,624,346283967
0,14,2,1,2,0.18,624,347280455
0,14,2,1,3,0.18,633,346452871
0,14,2,2,0,0.01,31,347688122
0,14,2,2,1,0.02,58,346283967
0,14,2,2,2,0.03,87,347280455
0,14,2,2,3,0.04,135,346452871
0,14,3,0,0,0.12,427,347688122
0,14,3,0,1,0.15,505,346283967
0,14,3,0,2,0.16,554,347280455
0,14,3,0,3,0.17,604,346452871
0,14,3,1,0,0.10,336,347688122
0,14,3,1,1,0.11,392,346283967
0,14,3,1,2,0.12,407,347280455
0,14,3,1,3,0.12,404,346452871
0,14,3,2,0,0.01,19,347688122
0,14,3,2,1,0.01,37,346283967
0,14,3,2,2,0.02,60,347280455
0,14,3,2,3,0.03,100,346452871
0,15,0,0,0,0.70,2438,347688122
0,15,0,0,1,0.76,2643,346283967
